year,team,p_average
1987,AGS,13.538461538461538
1987,Arrows,13.6875
1987,Benetton,11.875
1987,Brabham,17.354166666666668
1987,Coloni,26.0
1987,Ferrari,12.625
1987,Ligier,16.40625
1987,Lola,14.34375
1987,Lotus,10.0625
1987,March,15.875
1987,McLaren,8.59375
1987,Minardi,19.375
1987,Osella,18.571428571428573
1987,Trussardi,28.166666666666668
1987,Tyrrell,11.4375
1987,Williams,7.3125
1987,Zakspeed,15.71875
1988,AGS,17.0625
1988,Arrows,12.09375
1988,Benetton,11.1875
1988,Coloni,14.875
1988,Dallara,16.285714285714285
1988,Eurobrun,16.75
1988,Ferrari,10.40625
1988,Ligier,17.607142857142858
1988,Lola,14.34375
1988,Lotus,13.1875
1988,March,13.46875
1988,McLaren,4.125
1988,Minardi,15.214285714285714
1988,Osella,19.4
1988,Rial,16.25
1988,Tyrrell,15.7
1988,Williams,14.34375
1988,Zakspeed,17.35
1989,AGS,16.571428571428573
1989,Arrows,12.125
1989,Benetton,12.96875
1989,Brabham,13.9375
1989,Coloni,20.125
1989,Dallara,14.1875
1989,Ferrari,14.9375
1989,Ligier,15.857142857142858
1989,Lola,18.375
1989,Lotus,12.533333333333333
1989,March,17.21875
1989,McLaren,8.125
1989,Minardi,15.25
1989,Onyx,16.166666666666668
1989,Osella,21.38888888888889
1989,Rial,9.5
1989,Tyrrell,12.84375
1989,Williams,9.71875
1989,Zakspeed,20.0
1990,AGS,19.166666666666668
1990,Arrows,12.714285714285714
1990,Benetton,8.5625
1990,Brabham,17.6875
1990,Dallara,20.0625
1990,Eurobrun,19.5
1990,Ferrari,8.5625
1990,Leyton House,15.678571428571429
1990,Ligier,14.28125
1990,Lola,14.90625
1990,Lotus,15.5
1990,McLaren,7.3125
1990,Minardi,17.59375
1990,Monteverdi,15.0
1990,Onyx,14.25
1990,Osella,17.11111111111111
1990,Tyrrell,15.34375
1990,Williams,9.78125
1991,AGS,22.5
1991,Benetton,10.59375
1991,Brabham,14.875
1991,Coloni,34.0
1991,Dallara,14.75
1991,Ferrari,12.0
1991,Fondmetal,14.833333333333334
1991,Footwork,17.45
1991,Jordan,12.53125
1991,Lamborghini,16.333333333333332
1991,Leyton House,16.9375
1991,Ligier,14.25
1991,Lola,20.75
1991,Lotus,14.375
1991,McLaren,7.4375
1991,Minardi,14.6875
1991,Tyrrell,14.59375
1991,Williams,8.75
1992,Andrea Moda,27.666666666666668
1992,Benetton,8.0
1992,Brabham,16.833333333333332
1992,Dallara,12.96875
1992,Ferrari,14.625
1992,Fondmetal,19.23076923076923
1992,Footwork,11.625
1992,Jordan,17.21875
1992,Ligier,13.78125
1992,Lotus,14.9375
1992,March,16.125
1992,McLaren,10.53125
1992,Minardi,15.333333333333334
1992,Tyrrell,15.71875
1992,Venturi,16.9375
1992,Williams,6.46875
1993,Benetton,9.90625
1993,Ferrari,13.125
