year,date,prix,winner,constructor,raceUrl
1950,13 May 1950,Great Britain,"Nino
Farina
FAR",Alfa Romeo,/en/results.html/1950/races/94/great-britain/race-result.html
1950,21 May 1950,Monaco,"Juan Manuel
Fangio
FAN",Alfa Romeo,/en/results.html/1950/races/95/monaco/race-result.html
1950,30 May 1950,Indianapolis 500,"Johnnie 
Parsons
PAR",Kurtis Kraft Offenhauser,/en/results.html/1950/races/96/indianapolis-500/race-result.html
1950,04 Jun 1950,Switzerland,"Nino
Farina
FAR",Alfa Romeo,/en/results.html/1950/races/97/switzerland/race-result.html
1950,18 Jun 1950,Belgium,"Juan Manuel
Fangio
FAN",Alfa Romeo,/en/results.html/1950/races/98/belgium/race-result.html
1950,02 Jul 1950,France,"Juan Manuel
Fangio
FAN",Alfa Romeo,/en/results.html/1950/races/99/france/race-result.html
1950,03 Sep 1950,Italy,"Nino
Farina
FAR",Alfa Romeo,/en/results.html/1950/races/100/italy/race-result.html
1951,27 May 1951,Switzerland,"Juan Manuel
Fangio
FAN",Alfa Romeo,/en/results.html/1951/races/101/switzerland/race-result.html
1951,30 May 1951,Indianapolis 500,"Lee
Wallard
WAL",Kurtis Kraft Offenhauser,/en/results.html/1951/races/102/indianapolis-500/race-result.html
1951,17 Jun 1951,Belgium,"Nino
Farina
FAR",Alfa Romeo,/en/results.html/1951/races/103/belgium/race-result.html
1951,01 Jul 1951,France,"Juan Manuel
Fangio
FAN",Alfa Romeo,/en/results.html/1951/races/104/france/race-result.html
1951,01 Jul 1951,France,"Luigi
Fagioli
FAG",Alfa Romeo,/en/results.html/1951/races/104/france/race-result.html
1951,14 Jul 1951,Great Britain,"Jose Froilan
Gonzalez
GON",Ferrari,/en/results.html/1951/races/105/great-britain/race-result.html
1951,29 Jul 1951,Germany,"Alberto
Ascari
ASC",Ferrari,/en/results.html/1951/races/106/germany/race-result.html
1951,16 Sep 1951,Italy,"Alberto
Ascari
ASC",Ferrari,/en/results.html/1951/races/107/italy/race-result.html
1951,28 Oct 1951,Spain,"Juan Manuel
Fangio
FAN",Alfa Romeo,/en/results.html/1951/races/108/spain/race-result.html
1952,18 May 1952,Switzerland,"Piero 
Taruffi
TAR",Ferrari,/en/results.html/1952/races/109/switzerland/race-result.html
1952,30 May 1952,Indianapolis 500,"Troy
Ruttman
RUT",Kuzma Offenhauser,/en/results.html/1952/races/110/indianapolis-500/race-result.html
1952,22 Jun 1952,Belgium,"Alberto
Ascari
ASC",Ferrari,/en/results.html/1952/races/111/belgium/race-result.html
1952,06 Jul 1952,France,"Alberto
Ascari
ASC",Ferrari,/en/results.html/1952/races/112/france/race-result.html
1952,19 Jul 1952,Great Britain,"Alberto
Ascari
ASC",Ferrari,/en/results.html/1952/races/113/great-britain/race-result.html
1952,03 Aug 1952,Germany,"Alberto
Ascari
ASC",Ferrari,/en/results.html/1952/races/114/germany/race-result.html
1952,17 Aug 1952,Netherlands,"Alberto
Ascari
ASC",Ferrari,/en/results.html/1952/races/115/netherlands/race-result.html
1952,07 Sep 1952,Italy,"Alberto
Ascari
ASC",Ferrari,/en/results.html/1952/races/116/italy/race-result.html
1953,18 Jan 1953,Argentina,"Alberto
Ascari
ASC",Ferrari,/en/results.html/1953/races/117/argentina/race-result.html
1953,30 May 1953,Indianapolis 500,"Bill 
Vukovich 
VUK",Kurtis Kraft Offenhauser,/en/results.html/1953/races/118/indianapolis-500/race-result.html
1953,07 Jun 1953,Netherlands,"Alberto
Ascari
ASC",Ferrari,/en/results.html/1953/races/119/netherlands/race-result.html
1953,21 Jun 1953,Belgium,"Alberto
Ascari
ASC",Ferrari,/en/results.html/1953/races/120/belgium/race-result.html
1953,05 Jul 1953,France,"Mike
Hawthorn
HAW",Ferrari,/en/results.html/1953/races/121/france/race-result.html
1953,18 Jul 1953,Great Britain,"Alberto
Ascari
ASC",Ferrari,/en/results.html/1953/races/122/great-britain/race-result.html
1953,02 Aug 1953,Germany,"Nino
Farina
FAR",Ferrari,/en/results.html/1953/races/123/germany/race-result.html
1953,23 Aug 1953,Switzerland,"Alberto
Ascari
ASC",Ferrari,/en/results.html/1953/races/124/switzerland/race-result.html
1953,13 Sep 1953,Italy,"Juan Manuel
Fangio
FAN",Maserati,/en/results.html/1953/races/125/italy/race-result.html
1954,17 Jan 1954,Argentina,"Juan Manuel
Fangio
FAN",Maserati,/en/results.html/1954/races/126/argentina/race-result.html
1954,31 May 1954,Indianapolis 500,"Bill 
Vukovich 
VUK",Kurtis Kraft Offenhauser,/en/results.html/1954/races/127/indianapolis-500/race-result.html
1954,20 Jun 1954,Belgium,"Juan Manuel
Fangio
FAN",Maserati,/en/results.html/1954/races/128/belgium/race-result.html
1954,04 Jul 1954,France,"Juan Manuel
Fangio
FAN",Mercedes-Benz,/en/results.html/1954/races/129/france/race-result.html
1954,17 Jul 1954,Great Britain,"Jose Froilan
Gonzalez
GON",Ferrari,/en/results.html/1954/races/130/great-britain/race-result.html
1954,01 Aug 1954,Germany,"Juan Manuel
Fangio
FAN",Mercedes-Benz,/en/results.html/1954/races/131/germany/race-result.html
1954,22 Aug 1954,Switzerland,"Juan Manuel
Fangio
FAN",Mercedes-Benz,/en/results.html/1954/races/132/switzerland/race-result.html
1954,05 Sep 1954,Italy,"Juan Manuel
Fangio
FAN",Mercedes-Benz,/en/results.html/1954/races/133/italy/race-result.html
1954,24 Oct 1954,Spain,"Mike
Hawthorn
HAW",Ferrari,/en/results.html/1954/races/134/spain/race-result.html
1955,16 Jan 1955,Argentina,"Juan Manuel
Fangio
FAN",Mercedes-Benz,/en/results.html/1955/races/135/argentina/race-result.html
1955,22 May 1955,Monaco,"Maurice 
Trintignant
TRI",Ferrari,/en/results.html/1955/races/136/monaco/race-result.html
1955,30 May 1955,Indianapolis 500,"Bob
Sweikert
SWE",Kurtis Kraft Offenhauser,/en/results.html/1955/races/137/indianapolis-500/race-result.html
1955,05 Jun 1955,Belgium,"Juan Manuel
Fangio
FAN",Mercedes-Benz,/en/results.html/1955/races/138/belgium/race-result.html
1955,19 Jun 1955,Netherlands,"Juan Manuel
Fangio
FAN",Mercedes-Benz,/en/results.html/1955/races/139/netherlands/race-result.html
1955,16 Jul 1955,Great Britain,"Stirling
Moss
MOS",Mercedes-Benz,/en/results.html/1955/races/140/great-britain/race-result.html
1955,11 Sep 1955,Italy,"Juan Manuel
Fangio
FAN",Mercedes-Benz,/en/results.html/1955/races/141/italy/race-result.html
1956,22 Jan 1956,Argentina,"Luigi
Musso
MUS",Ferrari,/en/results.html/1956/races/142/argentina/race-result.html
1956,22 Jan 1956,Argentina,"Juan Manuel
Fangio
FAN",Ferrari,/en/results.html/1956/races/142/argentina/race-result.html
1956,13 May 1956,Monaco,"Stirling
Moss
MOS",Maserati,/en/results.html/1956/races/143/monaco/race-result.html
1956,30 May 1956,Indianapolis 500,"Pat
Flaherty
FLA",Watson Offenhauser,/en/results.html/1956/races/144/indianapolis-500/race-result.html
1956,03 Jun 1956,Belgium,"Peter
Collins
COL",Ferrari,/en/results.html/1956/races/145/belgium/race-result.html
1956,01 Jul 1956,France,"Peter
Collins
COL",Ferrari,/en/results.html/1956/races/146/france/race-result.html
1956,14 Jul 1956,Great Britain,"Juan Manuel
Fangio
FAN",Ferrari,/en/results.html/1956/races/147/great-britain/race-result.html
1956,05 Aug 1956,Germany,"Juan Manuel
Fangio
FAN",Ferrari,/en/results.html/1956/races/148/germany/race-result.html
1956,02 Sep 1956,Italy,"Stirling
Moss
MOS",Maserati,/en/results.html/1956/races/149/italy/race-result.html
1957,13 Jan 1957,Argentina,"Juan Manuel
Fangio
FAN",Maserati,/en/results.html/1957/races/150/argentina/race-result.html
1957,19 May 1957,Monaco,"Juan Manuel
Fangio
FAN",Maserati,/en/results.html/1957/races/151/monaco/race-result.html
1957,30 May 1957,Indianapolis 500,"Sam
Hanks
HAN",Epperly Offenhauser,/en/results.html/1957/races/152/indianapolis-500/race-result.html
1957,07 Jul 1957,France,"Juan Manuel
Fangio
FAN",Maserati,/en/results.html/1957/races/153/france/race-result.html
1957,20 Jul 1957,Great Britain,"Stirling
Moss
MOS",Vanwall,/en/results.html/1957/races/154/great-britain/race-result.html
1957,20 Jul 1957,Great Britain,"Tony
Brooks
BRO",Vanwall,/en/results.html/1957/races/154/great-britain/race-result.html
1957,04 Aug 1957,Germany,"Juan Manuel
Fangio
FAN",Maserati,/en/results.html/1957/races/155/germany/race-result.html
1957,18 Aug 1957,Pescara,"Stirling
Moss
MOS",Vanwall,/en/results.html/1957/races/156/pescara/race-result.html
1957,08 Sep 1957,Italy,"Stirling
Moss
MOS",Vanwall,/en/results.html/1957/races/157/italy/race-result.html
1958,19 Jan 1958,Argentina,"Stirling
Moss
MOS",Cooper Climax,/en/results.html/1958/races/158/argentina/race-result.html
1958,18 May 1958,Monaco,"Maurice 
Trintignant
TRI",Cooper Climax,/en/results.html/1958/races/159/monaco/race-result.html
1958,26 May 1958,Netherlands,"Stirling
Moss
MOS",Vanwall,/en/results.html/1958/races/160/netherlands/race-result.html
1958,30 May 1958,Indianapolis 500,"Jimmy
Bryan
BRY",Epperly Offenhauser,/en/results.html/1958/races/161/indianapolis-500/race-result.html
1958,15 Jun 1958,Belgium,"Tony
Brooks
BRO",Vanwall,/en/results.html/1958/races/162/belgium/race-result.html
1958,06 Jul 1958,France,"Mike
Hawthorn
HAW",Ferrari,/en/results.html/1958/races/163/france/race-result.html
1958,19 Jul 1958,Great Britain,"Peter
Collins
COL",Ferrari,/en/results.html/1958/races/164/great-britain/race-result.html
1958,03 Aug 1958,Germany,"Tony
Brooks
BRO",Vanwall,/en/results.html/1958/races/165/germany/race-result.html
1958,24 Aug 1958,Portugal,"Stirling
Moss
MOS",Vanwall,/en/results.html/1958/races/166/portugal/race-result.html
1958,07 Sep 1958,Italy,"Tony
Brooks
BRO",Vanwall,/en/results.html/1958/races/167/italy/race-result.html
1958,19 Oct 1958,Morocco,"Stirling
Moss
MOS",Vanwall,/en/results.html/1958/races/168/morocco/race-result.html
1959,10 May 1959,Monaco,"Jack
Brabham
BRA",Cooper Climax,/en/results.html/1959/races/169/monaco/race-result.html
1959,30 May 1959,Indianapolis 500,"Rodger
Ward
WAR",Watson Offenhauser,/en/results.html/1959/races/170/indianapolis-500/race-result.html
1959,31 May 1959,Netherlands,"Jo
Bonnier
BON",BRM,/en/results.html/1959/races/171/netherlands/race-result.html
1959,05 Jul 1959,France,"Tony
Brooks
BRO",Ferrari,/en/results.html/1959/races/172/france/race-result.html
1959,18 Jul 1959,Great Britain,"Jack
Brabham
BRA",Cooper Climax,/en/results.html/1959/races/173/great-britain/race-result.html
1959,02 Aug 1959,Germany,"Tony
Brooks
BRO",Ferrari,/en/results.html/1959/races/174/germany/race-result.html
1959,23 Aug 1959,Portugal,"Stirling
Moss
MOS",Cooper Climax,/en/results.html/1959/races/175/portugal/race-result.html
1959,13 Sep 1959,Italy,"Stirling
Moss
MOS",Cooper Climax,/en/results.html/1959/races/176/italy/race-result.html
1959,12 Dec 1959,United States,"Bruce
McLaren
MCL",Cooper Climax,/en/results.html/1959/races/177/united-states/race-result.html
1960,07 Feb 1960,Argentina,"Bruce
McLaren
MCL",Cooper Climax,/en/results.html/1960/races/178/argentina/race-result.html
1960,29 May 1960,Monaco,"Stirling
Moss
MOS",Lotus Climax,/en/results.html/1960/races/179/monaco/race-result.html
1960,30 May 1960,Indianapolis 500,"Jim
Rathmann
RAT",Watson Offenhauser,/en/results.html/1960/races/180/indianapolis-500/race-result.html
1960,06 Jun 1960,Netherlands,"Jack
Brabham
BRA",Cooper Climax,/en/results.html/1960/races/181/netherlands/race-result.html
1960,19 Jun 1960,Belgium,"Jack
Brabham
BRA",Cooper Climax,/en/results.html/1960/races/182/belgium/race-result.html
1960,03 Jul 1960,France,"Jack
Brabham
BRA",Cooper Climax,/en/results.html/1960/races/183/france/race-result.html
1960,16 Jul 1960,Great Britain,"Jack
Brabham
BRA",Cooper Climax,/en/results.html/1960/races/184/great-britain/race-result.html
1960,14 Aug 1960,Portugal,"Jack
Brabham
BRA",Cooper Climax,/en/results.html/1960/races/185/portugal/race-result.html
1960,04 Sep 1960,Italy,"Phil
Hill
HIL",Ferrari,/en/results.html/1960/races/186/italy/race-result.html
1960,20 Nov 1960,United States,"Stirling
Moss
MOS",Lotus Climax,/en/results.html/1960/races/187/united-states/race-result.html
1961,14 May 1961,Monaco,"Stirling
Moss
MOS",Lotus Climax,/en/results.html/1961/races/188/monaco/race-result.html
1961,22 May 1961,Netherlands,"Wolfgang
von Trips
VON",Ferrari,/en/results.html/1961/races/189/netherlands/race-result.html
1961,18 Jun 1961,Belgium,"Phil
Hill
HIL",Ferrari,/en/results.html/1961/races/190/belgium/race-result.html
1961,02 Jul 1961,France,"Giancarlo
Baghetti
BAG",Ferrari,/en/results.html/1961/races/191/france/race-result.html
1961,15 Jul 1961,Great Britain,"Wolfgang
von Trips
VON",Ferrari,/en/results.html/1961/races/192/great-britain/race-result.html
1961,06 Aug 1961,Germany,"Stirling
Moss
MOS",Lotus Climax,/en/results.html/1961/races/193/germany/race-result.html
1961,10 Sep 1961,Italy,"Phil
Hill
HIL",Ferrari,/en/results.html/1961/races/194/italy/race-result.html
1961,08 Oct 1961,United States,"Innes
Ireland
IRE",Lotus Climax,/en/results.html/1961/races/195/united-states/race-result.html
1962,20 May 1962,Netherlands,"Graham
Hill
HIL",BRM,/en/results.html/1962/races/196/netherlands/race-result.html
1962,03 Jun 1962,Monaco,"Bruce
McLaren
MCL",Cooper Climax,/en/results.html/1962/races/197/monaco/race-result.html
1962,17 Jun 1962,Belgium,"Jim
Clark
CLA",Lotus Climax,/en/results.html/1962/races/198/belgium/race-result.html
1962,08 Jul 1962,France,"Dan
Gurney
GUR",Porsche,/en/results.html/1962/races/199/france/race-result.html
1962,21 Jul 1962,Great Britain,"Jim
Clark
CLA",Lotus Climax,/en/results.html/1962/races/200/great-britain/race-result.html
1962,05 Aug 1962,Germany,"Graham
Hill
HIL",BRM,/en/results.html/1962/races/201/germany/race-result.html
1962,16 Sep 1962,Italy,"Graham
Hill
HIL",BRM,/en/results.html/1962/races/202/italy/race-result.html
1962,07 Oct 1962,United States,"Jim
Clark
CLA",Lotus Climax,/en/results.html/1962/races/203/united-states/race-result.html
1962,29 Dec 1962,South Africa,"Graham
Hill
HIL",BRM,/en/results.html/1962/races/204/south-africa/race-result.html
1963,26 May 1963,Monaco,"Graham
Hill
HIL",BRM,/en/results.html/1963/races/205/monaco/race-result.html
1963,09 Jun 1963,Belgium,"Jim
Clark
CLA",Lotus Climax,/en/results.html/1963/races/206/belgium/race-result.html
1963,23 Jun 1963,Netherlands,"Jim
Clark
CLA",Lotus Climax,/en/results.html/1963/races/207/netherlands/race-result.html
1963,30 Jun 1963,France,"Jim
Clark
CLA",Lotus Climax,/en/results.html/1963/races/208/france/race-result.html
1963,20 Jul 1963,Great Britain,"Jim
Clark
CLA",Lotus Climax,/en/results.html/1963/races/209/great-britain/race-result.html
1963,04 Aug 1963,Germany,"John
Surtees
SUR",Ferrari,/en/results.html/1963/races/210/germany/race-result.html
1963,08 Sep 1963,Italy,"Jim
Clark
CLA",Lotus Climax,/en/results.html/1963/races/211/italy/race-result.html
1963,06 Oct 1963,United States,"Graham
Hill
HIL",BRM,/en/results.html/1963/races/212/united-states/race-result.html
1963,27 Oct 1963,Mexico,"Jim
Clark
CLA",Lotus Climax,/en/results.html/1963/races/213/mexico/race-result.html
1963,28 Dec 1963,South Africa,"Jim
Clark
CLA",Lotus Climax,/en/results.html/1963/races/214/south-africa/race-result.html
1964,10 May 1964,Monaco,"Graham
Hill
HIL",BRM,/en/results.html/1964/races/215/monaco/race-result.html
1964,24 May 1964,Netherlands,"Jim
Clark
CLA",Lotus Climax,/en/results.html/1964/races/216/netherlands/race-result.html
1964,14 Jun 1964,Belgium,"Jim
Clark
CLA",Lotus Climax,/en/results.html/1964/races/217/belgium/race-result.html
1964,28 Jun 1964,France,"Dan
Gurney
GUR",Brabham Climax,/en/results.html/1964/races/218/france/race-result.html
1964,11 Jul 1964,Great Britain,"Jim
Clark
CLA",Lotus Climax,/en/results.html/1964/races/219/great-britain/race-result.html
1964,02 Aug 1964,Germany,"John
Surtees
SUR",Ferrari,/en/results.html/1964/races/220/germany/race-result.html
1964,23 Aug 1964,Austria,"Lorenzo
Bandini
BAN",Ferrari,/en/results.html/1964/races/221/austria/race-result.html
1964,06 Sep 1964,Italy,"John
Surtees
SUR",Ferrari,/en/results.html/1964/races/222/italy/race-result.html
1964,04 Oct 1964,United States,"Graham
Hill
HIL",BRM,/en/results.html/1964/races/223/united-states/race-result.html
1964,25 Oct 1964,Mexico,"Dan
Gurney
GUR",Brabham Climax,/en/results.html/1964/races/224/mexico/race-result.html
1965,01 Jan 1965,South Africa,"Jim
Clark
CLA",Lotus Climax,/en/results.html/1965/races/225/south-africa/race-result.html
1965,30 May 1965,Monaco,"Graham
Hill
HIL",BRM,/en/results.html/1965/races/226/monaco/race-result.html
1965,13 Jun 1965,Belgium,"Jim
Clark
CLA",Lotus Climax,/en/results.html/1965/races/227/belgium/race-result.html
1965,27 Jun 1965,France,"Jim
Clark
CLA",Lotus Climax,/en/results.html/1965/races/228/france/race-result.html
1965,10 Jul 1965,Great Britain,"Jim
Clark
CLA",Lotus Climax,/en/results.html/1965/races/229/great-britain/race-result.html
1965,18 Jul 1965,Netherlands,"Jim
Clark
CLA",Lotus Climax,/en/results.html/1965/races/230/netherlands/race-result.html
1965,01 Aug 1965,Germany,"Jim
Clark
CLA",Lotus Climax,/en/results.html/1965/races/231/germany/race-result.html
1965,12 Sep 1965,Italy,"Jackie
Stewart
STE",BRM,/en/results.html/1965/races/232/italy/race-result.html
1965,03 Oct 1965,United States,"Graham
Hill
HIL",BRM,/en/results.html/1965/races/233/united-states/race-result.html
1965,24 Oct 1965,Mexico,"Richie
Ginther
GIN",Honda,/en/results.html/1965/races/234/mexico/race-result.html
1966,22 May 1966,Monaco,"Jackie
Stewart
STE",BRM,/en/results.html/1966/races/235/monaco/race-result.html
1966,12 Jun 1966,Belgium,"John
Surtees
SUR",Ferrari,/en/results.html/1966/races/236/belgium/race-result.html
1966,03 Jul 1966,France,"Jack
Brabham
BRA",Brabham Repco,/en/results.html/1966/races/237/france/race-result.html
1966,16 Jul 1966,Great Britain,"Jack
Brabham
BRA",Brabham Repco,/en/results.html/1966/races/238/great-britain/race-result.html
1966,24 Jul 1966,Netherlands,"Jack
Brabham
BRA",Brabham Repco,/en/results.html/1966/races/239/netherlands/race-result.html
1966,07 Aug 1966,Germany,"Jack
Brabham
BRA",Brabham Repco,/en/results.html/1966/races/240/germany/race-result.html
1966,04 Sep 1966,Italy,"Ludovico
Scarfiotti
SCA",Ferrari,/en/results.html/1966/races/241/italy/race-result.html
1966,02 Oct 1966,United States,"Jim
Clark
CLA",Lotus BRM,/en/results.html/1966/races/242/united-states/race-result.html
1966,23 Oct 1966,Mexico,"John
Surtees
SUR",Cooper Maserati,/en/results.html/1966/races/243/mexico/race-result.html
1967,02 Jan 1967,South Africa,"Pedro
Rodriguez
ROD",Cooper Maserati,/en/results.html/1967/races/244/south-africa/race-result.html
1967,07 May 1967,Monaco,"Denny
Hulme
HUL",Brabham Repco,/en/results.html/1967/races/245/monaco/race-result.html
1967,04 Jun 1967,Netherlands,"Jim
Clark
CLA",Lotus Ford,/en/results.html/1967/races/246/netherlands/race-result.html
1967,18 Jun 1967,Belgium,"Dan
Gurney
GUR",Eagle Weslake,/en/results.html/1967/races/247/belgium/race-result.html
1967,02 Jul 1967,France,"Jack
Brabham
BRA",Brabham Repco,/en/results.html/1967/races/248/france/race-result.html
1967,15 Jul 1967,Great Britain,"Jim
Clark
CLA",Lotus Ford,/en/results.html/1967/races/249/great-britain/race-result.html
1967,06 Aug 1967,Germany,"Denny
Hulme
HUL",Brabham Repco,/en/results.html/1967/races/250/germany/race-result.html
1967,27 Aug 1967,Canada,"Jack
Brabham
BRA",Brabham Repco,/en/results.html/1967/races/251/canada/race-result.html
1967,10 Sep 1967,Italy,"John
Surtees
SUR",Honda,/en/results.html/1967/races/252/italy/race-result.html
1967,01 Oct 1967,United States,"Jim
Clark
CLA",Lotus Ford,/en/results.html/1967/races/253/united-states/race-result.html
1967,22 Oct 1967,Mexico,"Jim
Clark
CLA",Lotus Ford,/en/results.html/1967/races/254/mexico/race-result.html
1968,01 Jan 1968,South Africa,"Jim
Clark
CLA",Lotus Ford,/en/results.html/1968/races/255/south-africa/race-result.html
1968,12 May 1968,Spain,"Graham
Hill
HIL",Lotus Ford,/en/results.html/1968/races/256/spain/race-result.html
1968,26 May 1968,Monaco,"Graham
Hill
HIL",Lotus Ford,/en/results.html/1968/races/257/monaco/race-result.html
1968,09 Jun 1968,Belgium,"Bruce
McLaren
MCL",McLaren Ford,/en/results.html/1968/races/258/belgium/race-result.html
1968,23 Jun 1968,Netherlands,"Jackie
Stewart
STE",Matra Ford,/en/results.html/1968/races/259/netherlands/race-result.html
1968,07 Jul 1968,France,"Jacky
Ickx
ICK",Ferrari,/en/results.html/1968/races/260/france/race-result.html
1968,20 Jul 1968,Great Britain,"Jo
Siffert
SIF",Lotus Ford,/en/results.html/1968/races/261/great-britain/race-result.html
1968,04 Aug 1968,Germany,"Jackie
Stewart
STE",Matra Ford,/en/results.html/1968/races/262/germany/race-result.html
1968,08 Sep 1968,Italy,"Denny
Hulme
HUL",McLaren Ford,/en/results.html/1968/races/263/italy/race-result.html
1968,22 Sep 1968,Canada,"Denny
Hulme
HUL",McLaren Ford,/en/results.html/1968/races/264/canada/race-result.html
1968,06 Oct 1968,United States,"Jackie
Stewart
STE",Matra Ford,/en/results.html/1968/races/265/united-states/race-result.html
1968,03 Nov 1968,Mexico,"Graham
Hill
HIL",Lotus Ford,/en/results.html/1968/races/266/mexico/race-result.html
1969,01 Mar 1969,South Africa,"Jackie
Stewart
STE",Matra Ford,/en/results.html/1969/races/267/south-africa/race-result.html
1969,04 May 1969,Spain,"Jackie
Stewart
STE",Matra Ford,/en/results.html/1969/races/268/spain/race-result.html
1969,18 May 1969,Monaco,"Graham
Hill
HIL",Lotus Ford,/en/results.html/1969/races/269/monaco/race-result.html
1969,21 Jun 1969,Netherlands,"Jackie
Stewart
STE",Matra Ford,/en/results.html/1969/races/270/netherlands/race-result.html
1969,06 Jul 1969,France,"Jackie
Stewart
STE",Matra Ford,/en/results.html/1969/races/271/france/race-result.html
1969,19 Jul 1969,Great Britain,"Jackie
Stewart
STE",Matra Ford,/en/results.html/1969/races/272/great-britain/race-result.html
1969,03 Aug 1969,Germany,"Jacky
Ickx
ICK",Brabham Ford,/en/results.html/1969/races/273/germany/race-result.html
1969,07 Sep 1969,Italy,"Jackie
Stewart
STE",Matra Ford,/en/results.html/1969/races/274/italy/race-result.html
1969,20 Sep 1969,Canada,"Jacky
Ickx
ICK",Brabham Ford,/en/results.html/1969/races/275/canada/race-result.html
1969,05 Oct 1969,United States,"Jochen
Rindt
RIN",Lotus Ford,/en/results.html/1969/races/276/united-states/race-result.html
1969,19 Oct 1969,Mexico,"Denny
Hulme
HUL",McLaren Ford,/en/results.html/1969/races/277/mexico/race-result.html
1970,07 Mar 1970,South Africa,"Jack
Brabham
BRA",Brabham Ford,/en/results.html/1970/races/278/south-africa/race-result.html
1970,19 Apr 1970,Spain,"Jackie
Stewart
STE",March Ford,/en/results.html/1970/races/279/spain/race-result.html
1970,10 May 1970,Monaco,"Jochen
Rindt
RIN",Lotus Ford,/en/results.html/1970/races/280/monaco/race-result.html
1970,07 Jun 1970,Belgium,"Pedro
Rodriguez
ROD",BRM,/en/results.html/1970/races/281/belgium/race-result.html
1970,21 Jun 1970,Netherlands,"Jochen
Rindt
RIN",Lotus Ford,/en/results.html/1970/races/282/netherlands/race-result.html
1970,05 Jul 1970,France,"Jochen
Rindt
RIN",Lotus Ford,/en/results.html/1970/races/283/france/race-result.html
1970,18 Jul 1970,Great Britain,"Jochen
Rindt
RIN",Lotus Ford,/en/results.html/1970/races/284/great-britain/race-result.html
1970,02 Aug 1970,Germany,"Jochen
Rindt
RIN",Lotus Ford,/en/results.html/1970/races/285/germany/race-result.html
1970,16 Aug 1970,Austria,"Jacky
Ickx
ICK",Ferrari,/en/results.html/1970/races/286/austria/race-result.html
1970,06 Sep 1970,Italy,"Clay
Regazzoni
REG",Ferrari,/en/results.html/1970/races/287/italy/race-result.html
1970,20 Sep 1970,Canada,"Jacky
Ickx
ICK",Ferrari,/en/results.html/1970/races/288/canada/race-result.html
1970,04 Oct 1970,United States,"Emerson
Fittipaldi
FIT",Lotus Ford,/en/results.html/1970/races/289/united-states/race-result.html
1970,25 Oct 1970,Mexico,"Jacky
Ickx
ICK",Ferrari,/en/results.html/1970/races/290/mexico/race-result.html
1971,06 Mar 1971,South Africa,"Mario
Andretti
AND",Ferrari,/en/results.html/1971/races/291/south-africa/race-result.html
1971,18 Apr 1971,Spain,"Jackie
Stewart
STE",Tyrrell Ford,/en/results.html/1971/races/292/spain/race-result.html
1971,23 May 1971,Monaco,"Jackie
Stewart
STE",Tyrrell Ford,/en/results.html/1971/races/293/monaco/race-result.html
1971,20 Jun 1971,Netherlands,"Jacky
Ickx
ICK",Ferrari,/en/results.html/1971/races/294/netherlands/race-result.html
1971,04 Jul 1971,France,"Jackie
Stewart
STE",Tyrrell Ford,/en/results.html/1971/races/295/france/race-result.html
1971,17 Jul 1971,Great Britain,"Jackie
Stewart
STE",Tyrrell Ford,/en/results.html/1971/races/296/great-britain/race-result.html
1971,01 Aug 1971,Germany,"Jackie
Stewart
STE",Tyrrell Ford,/en/results.html/1971/races/297/germany/race-result.html
1971,15 Aug 1971,Austria,"Jo
Siffert
SIF",BRM,/en/results.html/1971/races/298/austria/race-result.html
1971,05 Sep 1971,Italy,"Peter 
Gethin 
GET",BRM,/en/results.html/1971/races/299/italy/race-result.html
1971,19 Sep 1971,Canada,"Jackie
Stewart
STE",Tyrrell Ford,/en/results.html/1971/races/300/canada/race-result.html
1971,03 Oct 1971,United States,"Francois 
Cevert 
CEV",Tyrrell Ford,/en/results.html/1971/races/301/united-states/race-result.html
1972,23 Jan 1972,Argentina,"Jackie
Stewart
STE",Tyrrell Ford,/en/results.html/1972/races/302/argentina/race-result.html
1972,04 Mar 1972,South Africa,"Denny
Hulme
HUL",McLaren Ford,/en/results.html/1972/races/303/south-africa/race-result.html
1972,01 May 1972,Spain,"Emerson
Fittipaldi
FIT",Lotus Ford,/en/results.html/1972/races/304/spain/race-result.html
1972,14 May 1972,Monaco,"Jean-Pierre
Beltoise
BEL",BRM,/en/results.html/1972/races/305/monaco/race-result.html
1972,04 Jun 1972,Belgium,"Emerson
Fittipaldi
FIT",Lotus Ford,/en/results.html/1972/races/306/belgium/race-result.html
1972,02 Jul 1972,France,"Jackie
Stewart
STE",Tyrrell Ford,/en/results.html/1972/races/307/france/race-result.html
1972,15 Jul 1972,Great Britain,"Emerson
Fittipaldi
FIT",Lotus Ford,/en/results.html/1972/races/308/great-britain/race-result.html
1972,30 Jul 1972,Germany,"Jacky
Ickx
ICK",Ferrari,/en/results.html/1972/races/309/germany/race-result.html
1972,13 Aug 1972,Austria,"Emerson
Fittipaldi
FIT",Lotus Ford,/en/results.html/1972/races/310/austria/race-result.html
1972,10 Sep 1972,Italy,"Emerson
Fittipaldi
FIT",Lotus Ford,/en/results.html/1972/races/311/italy/race-result.html
1972,24 Sep 1972,Canada,"Jackie
Stewart
STE",Tyrrell Ford,/en/results.html/1972/races/312/canada/race-result.html
1972,08 Oct 1972,United States,"Jackie
Stewart
STE",Tyrrell Ford,/en/results.html/1972/races/313/united-states/race-result.html
