year,date,prix,winner,constructor,raceUrl
1991,07 Jul 1991,France,"Nigel
Mansell
MAN",Williams Renault,/en/results.html/1991/races/565/france/race-result.html
1991,14 Jul 1991,Great Britain,"Nigel
Mansell
MAN",Williams Renault,/en/results.html/1991/races/566/great-britain/race-result.html
1991,28 Jul 1991,Germany,"Nigel
Mansell
MAN",Williams Renault,/en/results.html/1991/races/567/germany/race-result.html
1991,11 Aug 1991,Hungary,"Ayrton
Senna
SEN",McLaren Honda,/en/results.html/1991/races/568/hungary/race-result.html
1991,25 Aug 1991,Belgium,"Ayrton
Senna
SEN",McLaren Honda,/en/results.html/1991/races/569/belgium/race-result.html
1991,08 Sep 1991,Italy,"Nigel
Mansell
MAN",Williams Renault,/en/results.html/1991/races/570/italy/race-result.html
1991,22 Sep 1991,Portugal,"Riccardo
Patrese
PAT",Williams Renault,/en/results.html/1991/races/571/portugal/race-result.html
1991,29 Sep 1991,Spain,"Nigel
Mansell
MAN",Williams Renault,/en/results.html/1991/races/572/spain/race-result.html
1991,20 Oct 1991,Japan,"Gerhard
Berger
BER",McLaren Honda,/en/results.html/1991/races/573/japan/race-result.html
1991,03 Nov 1991,Australia,"Ayrton
Senna
SEN",McLaren Honda,/en/results.html/1991/races/574/australia/race-result.html
1992,01 Mar 1992,South Africa,"Nigel
Mansell
MAN",Williams Renault,/en/results.html/1992/races/2/south-africa/race-result.html
1992,22 Mar 1992,Mexico,"Nigel
Mansell
MAN",Williams Renault,/en/results.html/1992/races/575/mexico/race-result.html
1992,05 Apr 1992,Brazil,"Nigel
Mansell
MAN",Williams Renault,/en/results.html/1992/races/576/brazil/race-result.html
1992,03 May 1992,Spain,"Nigel
Mansell
MAN",Williams Renault,/en/results.html/1992/races/577/spain/race-result.html
1992,17 May 1992,San Marino,"Nigel
Mansell
MAN",Williams Renault,/en/results.html/1992/races/578/san-marino/race-result.html
1992,31 May 1992,Monaco,"Ayrton
Senna
SEN",McLaren Honda,/en/results.html/1992/races/579/monaco/race-result.html
1992,14 Jun 1992,Canada,"Gerhard
Berger
BER",McLaren Honda,/en/results.html/1992/races/580/canada/race-result.html
1992,05 Jul 1992,France,"Nigel
Mansell
MAN",Williams Renault,/en/results.html/1992/races/581/france/race-result.html
1992,12 Jul 1992,Great Britain,"Nigel
Mansell
MAN",Williams Renault,/en/results.html/1992/races/582/great-britain/race-result.html
1992,26 Jul 1992,Germany,"Nigel
Mansell
MAN",Williams Renault,/en/results.html/1992/races/583/germany/race-result.html
1992,16 Aug 1992,Hungary,"Ayrton
Senna
SEN",McLaren Honda,/en/results.html/1992/races/584/hungary/race-result.html
1992,30 Aug 1992,Belgium,"Michael
Schumacher
MSC",Benetton Ford,/en/results.html/1992/races/585/belgium/race-result.html
1992,13 Sep 1992,Italy,"Ayrton
Senna
SEN",McLaren Honda,/en/results.html/1992/races/586/italy/race-result.html
1992,27 Sep 1992,Portugal,"Nigel
Mansell
MAN",Williams Renault,/en/results.html/1992/races/587/portugal/race-result.html
1992,25 Oct 1992,Japan,"Riccardo
Patrese
PAT",Williams Renault,/en/results.html/1992/races/588/japan/race-result.html
1992,08 Nov 1992,Australia,"Gerhard
Berger
BER",McLaren Honda,/en/results.html/1992/races/589/australia/race-result.html
1993,14 Mar 1993,South Africa,"Alain
Prost
PRO",Williams Renault,/en/results.html/1993/races/590/south-africa/race-result.html
1993,28 Mar 1993,Brazil,"Ayrton
Senna
SEN",McLaren Ford,/en/results.html/1993/races/591/brazil/race-result.html
1993,11 Apr 1993,Europe,"Ayrton
Senna
SEN",McLaren Ford,/en/results.html/1993/races/592/europe/race-result.html
1993,25 Apr 1993,San Marino,"Alain
Prost
PRO",Williams Renault,/en/results.html/1993/races/593/san-marino/race-result.html
1993,09 May 1993,Spain,"Alain
Prost
PRO",Williams Renault,/en/results.html/1993/races/594/spain/race-result.html
1993,23 May 1993,Monaco,"Ayrton
Senna
SEN",McLaren Ford,/en/results.html/1993/races/595/monaco/race-result.html
1993,13 Jun 1993,Canada,"Alain
Prost
PRO",Williams Renault,/en/results.html/1993/races/596/canada/race-result.html
1993,04 Jul 1993,France,"Alain
Prost
PRO",Williams Renault,/en/results.html/1993/races/597/france/race-result.html
1993,11 Jul 1993,Great Britain,"Alain
Prost
PRO",Williams Renault,/en/results.html/1993/races/3/great-britain/race-result.html
1993,25 Jul 1993,Germany,"Alain
Prost
PRO",Williams Renault,/en/results.html/1993/races/598/germany/race-result.html
1993,15 Aug 1993,Hungary,"Damon
Hill
HIL",Williams Renault,/en/results.html/1993/races/599/hungary/race-result.html
1993,29 Aug 1993,Belgium,"Damon
Hill
HIL",Williams Renault,/en/results.html/1993/races/600/belgium/race-result.html
1993,12 Sep 1993,Italy,"Damon
Hill
HIL",Williams Renault,/en/results.html/1993/races/601/italy/race-result.html
1993,26 Sep 1993,Portugal,"Michael
Schumacher
MSC",Benetton Ford,/en/results.html/1993/races/602/portugal/race-result.html
1993,24 Oct 1993,Japan,"Ayrton
Senna
SEN",McLaren Ford,/en/results.html/1993/races/603/japan/race-result.html
1993,07 Nov 1993,Australia,"Ayrton
Senna
SEN",McLaren Ford,/en/results.html/1993/races/604/australia/race-result.html
1994,27 Mar 1994,Brazil,"Michael
Schumacher
MSC",Benetton Ford,/en/results.html/1994/races/605/brazil/race-result.html
1994,17 Apr 1994,Pacific,"Michael
Schumacher
MSC",Benetton Ford,/en/results.html/1994/races/606/pacific/race-result.html
1994,01 May 1994,San Marino,"Michael
Schumacher
MSC",Benetton Ford,/en/results.html/1994/races/607/san-marino/race-result.html
1994,15 May 1994,Monaco,"Michael
Schumacher
MSC",Benetton Ford,/en/results.html/1994/races/608/monaco/race-result.html
1994,29 May 1994,Spain,"Damon
Hill
HIL",Williams Renault,/en/results.html/1994/races/609/spain/race-result.html
