constructorStandingsId,raceId,constructorId,points,position,positionText,wins,raceId2
6360,56,8,0.0,11,11,0,754
6359,56,13,0.0,10,10,0,754
6358,56,7,7.0,7,7,0,754
6357,56,2,10.0,5,5,0,754
6356,56,5,0.0,9,9,0,754
6355,56,9,2.0,8,8,0,754
6354,56,3,8.0,6,6,0,754
6353,56,11,15.0,4,4,0,754
6352,56,1,33.0,2,2,0,754
6351,56,6,30.0,3,3,1,754
6350,56,4,51.0,1,1,3,754
6371,57,8,0.0,11,11,0,755
6370,57,13,0.0,10,10,0,755
6369,57,7,7.0,7,7,0,755
6368,57,2,11.0,5,5,0,755
6367,57,5,0.0,9,9,0,755
6366,57,9,2.0,8,8,0,755
6365,57,3,10.0,6,6,0,755
6364,57,11,19.0,4,4,0,755
6363,57,1,38.0,3,3,0,755
6362,57,6,46.0,2,2,2,755
6361,57,4,62.0,1,1,3,755
6382,58,8,0.0,11,11,0,756
6381,58,13,0.0,10,10,0,756
6380,58,7,7.0,7,7,0,756
6379,58,2,12.0,5,5,0,756
6378,58,5,0.0,9,9,0,756
6377,58,9,2.0,8,8,0,756
6376,58,3,10.0,6,6,0,756
6375,58,11,24.0,4,4,0,756
6374,58,1,42.0,3,3,0,756
6373,58,6,59.0,2,2,2,756
6372,58,4,78.0,1,1,4,756
6393,59,8,0.0,11,11,0,757
6392,59,13,0.0,10,10,0,757
6391,59,7,8.0,7,7,0,757
6390,59,2,14.0,5,5,0,757
6389,59,5,0.0,9,9,0,757
6388,59,9,8.0,8,8,0,757
6387,59,3,10.0,6,6,0,757
6386,59,11,29.0,4,4,0,757
6385,59,1,50.0,3,3,0,757
6384,59,6,63.0,2,2,2,757
6383,59,4,91.0,1,1,5,757
6404,60,8,0.0,11,11,0,758
6403,60,13,0.0,10,10,0,758
6402,60,7,8.0,7,7,0,758
6401,60,2,17.0,5,5,0,758
6400,60,5,0.0,9,9,0,758
6399,60,9,8.0,8,8,0,758
6398,60,3,10.0,6,6,0,758
6397,60,11,29.0,4,4,0,758
6396,60,1,59.0,3,3,0,758
6395,60,6,75.0,2,2,2,758
6394,60,4,106.0,1,1,6,758
6415,61,8,0.0,11,11,0,759
6414,61,13,0.0,10,10,0,759
6413,61,7,11.0,6,6,0,759
6412,61,2,19.0,5,5,0,759
6411,61,5,0.0,9,9,0,759
6410,61,9,9.0,8,8,0,759
6409,61,3,10.0,7,7,0,759
6408,61,11,29.0,4,4,0,759
6407,61,1,65.0,3,3,0,759
6406,61,6,87.0,2,2,2,759
6405,61,4,121.0,1,1,7,759
6426,62,8,0.0,11,11,0,760
6425,62,13,0.0,10,10,0,760
6424,62,7,16.0,6,6,0,760
6423,62,2,19.0,5,5,0,760
6422,62,5,1.0,9,9,0,760
6421,62,9,11.0,7,7,0,760
6420,62,3,10.0,8,8,0,760
6419,62,11,32.0,4,4,0,760
6418,62,1,65.0,3,3,0,760
6417,62,6,105.0,2,2,3,760
6416,62,4,131.0,1,1,7,760
6437,63,8,0.0,11,11,0,761
6436,63,13,0.0,10,10,0,761
6435,63,7,21.0,5,5,0,761
6434,63,2,20.0,6,6,0,761
6433,63,5,1.0,9,9,0,761
6432,63,9,11.0,7,7,0,761
6431,63,3,10.0,8,8,0,761
6430,63,11,32.0,4,4,0,761
6429,63,1,71.0,3,3,0,761
6428,63,6,121.0,2,2,4,761
6427,63,4,142.0,1,1,7,761
6448,64,8,0.0,11,11,0,762
6447,64,13,0.0,10,10,0,762
6446,64,7,23.0,5,5,0,762
6445,64,2,20.0,6,6,0,762
6444,64,5,1.0,9,9,0,762
6443,64,9,12.0,7,7,0,762
6442,64,3,10.0,8,8,0,762
6441,64,11,37.0,4,4,0,762
6440,64,1,77.0,3,3,0,762
6439,64,6,139.0,2,2,5,762
6438,64,4,149.0,1,1,7,762
6459,65,8,0.0,11,11,0,763
6458,65,13,0.0,10,10,0,763
6457,65,7,26.0,5,5,0,763
6456,65,2,26.0,6,6,0,763
