year,constructor,constructor_clean,constructor_alt
1995,Simtek Ford,Simtek,
1995,Tyrrell Yamaha,Tyrrell,
1995,Williams Renault,Williams,
1996,Benetton Renault,Benetton,
1996,Ferrari,Ferrari,
1996,Footwork Hart,Footwork,
1996,Forti Ford,Forti,
1996,Jordan Peugeot,Jordan,
1996,Ligier Mugen Honda,Ligier,
1996,McLaren Mercedes,McLaren,
1996,Minardi Ford,Minardi,
1996,Sauber Ford,Sauber,
1996,Tyrrell Yamaha,Tyrrell,
1996,Williams Renault,Williams,
1997,Arrows Yamaha,Arrows,
1997,Benetton Renault,Benetton,
1997,Ferrari,Ferrari,
1997,Jordan Peugeot,Jordan,
1997,McLaren Mercedes,McLaren,
1997,Minardi Hart,Minardi,
1997,Prost Mugen Honda,Prost,
1997,Sauber Petronas,Sauber,
1997,Stewart Ford,Stewart,
1997,Tyrrell Ford,Tyrrell,
1997,Williams Renault,Williams,
1998,Arrows,Arrows,
1998,Benetton Playlife,Benetton,
1998,Ferrari,Ferrari,
1998,Jordan Mugen Honda,Jordan,
1998,McLaren Mercedes,McLaren,
1998,Minardi Ford,Minardi,
1998,Prost Peugeot,Prost,
1998,Sauber Petronas,Sauber,
1998,Stewart Ford,Stewart,
1998,Tyrrell Ford,Tyrrell,
1998,Williams Mecachrome,Williams,
1999,Arrows,Arrows,
1999,BAR Supertec,BAR,
1999,Benetton Playlife,Benetton,
1999,Ferrari,Ferrari,
1999,Jordan Mugen Honda,Jordan,
1999,McLaren Mercedes,McLaren,
1999,Minardi Ford,Minardi,
1999,Prost Peugeot,Prost,
1999,Sauber Petronas,Sauber,
1999,Stewart Ford,Stewart,
1999,Williams Supertec,Williams,
2000,Arrows Supertec,Arrows,
2000,BAR Honda,BAR,
2000,Benetton Playlife,Benetton,
2000,Ferrari,Ferrari,
2000,Jaguar Cosworth,Jaguar,
2000,Jordan Mugen Honda,Jordan,
2000,McLaren Mercedes,McLaren,
2000,Minardi Fondmetal,Minardi,
2000,Prost Peugeot,Prost,
2000,Sauber Petronas,Sauber,
2000,Williams BMW,Williams,
2001,Arrows Asiatech,Arrows,
2001,BAR Honda,BAR,
2001,Benetton Renault,Benetton,
2001,Ferrari,Ferrari,
2001,Jaguar Cosworth,Jaguar,
2001,Jordan Honda,Jordan,
2001,McLaren Mercedes,McLaren,
2001,Minardi European,Minardi,
2001,Prost Acer,Prost,
2001,Sauber Petronas,Sauber,
2001,Williams BMW,Williams,
2002,Arrows Cosworth,Arrows,
2002,BAR Honda,BAR,
2002,Ferrari,Ferrari,
2002,Jaguar Cosworth,Jaguar,
2002,Jordan Honda,Jordan,
2002,McLaren Mercedes,McLaren,
2002,Minardi Asiatech,Minardi,
2002,Renault,Renault,
2002,Sauber Petronas,Sauber,
2002,Toyota,Toyota,
2002,Williams BMW,Williams,
2003,BAR Honda,BAR,
2003,Ferrari,Ferrari,
2003,Jaguar Cosworth,Jaguar,
2003,Jordan Ford,Jordan,
2003,McLaren Mercedes,McLaren,
2003,Minardi Cosworth,Minardi,
2003,Renault,Renault,
2003,Sauber Petronas,Sauber,
2003,Toyota,Toyota,
2003,Williams BMW,Williams,
2004,BAR Honda,BAR,
2004,Ferrari,Ferrari,
2004,Jaguar Cosworth,Jaguar,
2004,Jordan Ford,Jordan,
2004,McLaren Mercedes,McLaren,
2004,Minardi Cosworth,Minardi,
2004,Renault,Renault,
2004,Sauber Petronas,Sauber,
2004,Toyota,Toyota,
2004,Williams BMW,Williams,
2005,BAR Honda,BAR,
2005,Ferrari,Ferrari,
2005,Jordan Toyota,Jordan,
2005,McLaren Mercedes,McLaren,
2005,Minardi Cosworth,Minardi,
2005,RBR Cosworth,Red Bull,
2005,Renault,Renault,
2005,Sauber Petronas,Sauber,
2005,Toyota,Toyota,
2005,Williams BMW,Williams,
2006,Ferrari,Ferrari,
2006,Honda,Honda,
2006,McLaren Mercedes,McLaren,
2006,MF1 Toyota,Midland,
2006,RBR Ferrari,Red Bull,
2006,Renault,Renault,
2006,Sauber BMW,Sauber,
2006,STR Cosworth,Toro Rosso,
2006,Super Aguri Honda,Super Aguri,
2006,Toyota,Toyota,
2006,Williams Cosworth,Williams,
2007,Ferrari,Ferrari,
2007,Honda,Honda,
2007,McLaren Mercedes,McLaren,
2007,Red Bull Renault,Red Bull,
2007,Renault,Renault,
2007,Sauber BMW,Sauber,
2007,Spyker Ferrari,Spyker,
2007,STR Ferrari,Toro Rosso,
2007,Super Aguri Honda,Super Aguri,
2007,Toyota,Toyota,
2007,Williams Toyota,Williams,
2008,Ferrari,Ferrari,
2008,Force India Ferrari,Force India,
2008,Honda,Honda,
2008,McLaren Mercedes,McLaren,
2008,Red Bull Renault,Red Bull,
2008,Renault,Renault,
2008,Sauber BMW,Sauber,
2008,STR Ferrari,Toro Rosso,
2008,Super Aguri Honda,Super Aguri,
2008,Toyota,Toyota,
2008,Williams Toyota,Williams,
2009,Brawn Mercedes,Brawn GP,
2009,Ferrari,Ferrari,
2009,Force India Mercedes,Force India,
2009,McLaren Mercedes,McLaren,
2009,RBR Renault,Red Bull,
2009,Renault,Renault,
2009,Sauber BMW,Sauber,
2009,STR Ferrari,Toro Rosso,
2009,Toyota,Toyota,
2009,Williams Toyota,Williams,
2010,Ferrari,Ferrari,
2010,Force India Mercedes,Force India,
2010,HRT Cosworth,HRT,
2010,Lotus Cosworth,Lotus,
2010,McLaren Mercedes,McLaren,
2010,Mercedes,Mercedes,
2010,RBR Renault,Red Bull,
2010,Renault,Renault,
2010,Sauber Ferrari,Sauber,
2010,STR Ferrari,Toro Rosso,
2010,Virgin Cosworth,Virgin,
2010,Williams Cosworth,Williams,
2011,Ferrari,Ferrari,
2011,Force India Mercedes,Force India,
2011,HRT Cosworth,HRT,
2011,Lotus Renault,Lotus,
2011,McLaren Mercedes,McLaren,
2011,Mercedes,Mercedes,
2011,Red Bull Racing Renault,Red Bull,
2011,Renault,Renault,
2011,Sauber Ferrari,Sauber,
2011,STR Ferrari,Toro Rosso,
2011,Virgin Cosworth,Virgin,
2011,Williams Cosworth,Williams,
2012,Caterham Renault,Caterham,
2012,Ferrari,Ferrari,
2012,Force India Mercedes,Force India,
2012,HRT Cosworth,HRT,
2012,Lotus Renault,Lotus,
2012,Marussia Cosworth,Marussia,
2012,McLaren Mercedes,McLaren,
2012,Mercedes,Mercedes,
2012,Red Bull Racing Renault,Red Bull,
2012,Sauber Ferrari,Sauber,
2012,STR Ferrari,Toro Rosso,
2012,Williams Renault,Williams,
2013,Caterham Renault,Caterham,
2013,Ferrari,Ferrari,
2013,Force India Mercedes,Force India,
2013,Lotus Renault,Lotus,
2013,Marussia Cosworth,Marussia,
2013,McLaren Mercedes,McLaren,
2013,Mercedes,Mercedes,
2013,Red Bull Racing Renault,Red Bull,
2013,Sauber Ferrari,Sauber,
2013,STR Ferrari,Toro Rosso,
2013,Williams Renault,Williams,
2014,Caterham Renault,Caterham,
2014,Ferrari,Ferrari,
2014,Force India Mercedes,Force India,
2014,Lotus Renault,Lotus,
2014,Marussia Ferrari,Marussia,
2014,McLaren Mercedes,McLaren,
2014,Mercedes,Mercedes,
2014,Red Bull Racing Renault,Red Bull,
2014,Sauber Ferrari,Sauber,
2014,STR Renault,Toro Rosso,
2014,Williams Mercedes,Williams,
2015,Ferrari,Ferrari,
2015,Force India Mercedes,Force India,
2015,Lotus Mercedes,Lotus,
2015,Marussia Ferrari,Marussia,
2015,McLaren Honda,McLaren,
2015,Mercedes,Mercedes,
2015,Red Bull Racing Renault,Red Bull,
2015,Sauber Ferrari,Sauber,
2015,STR Renault,Toro Rosso,
2015,Williams Mercedes,Williams,
2016,Ferrari,Ferrari,
2016,Force India Mercedes,Force India,
2016,Haas Ferrari,Haas,
2016,McLaren Honda,McLaren,
2016,Mercedes,Mercedes,
2016,MRT Mercedes,Manor,
2016,Red Bull Racing TAG Heuer,Red Bull,
2016,Renault,Renault,
2016,Sauber Ferrari,Sauber,
2016,Toro Rosso Ferrari,Toro Rosso,
2016,Williams Mercedes,Williams,
2017,Ferrari,Ferrari,
2017,Force India Mercedes,Force India,
2017,Haas Ferrari,Haas,
2017,McLaren Honda,McLaren,
2017,Mercedes,Mercedes,
2017,Red Bull Racing TAG Heuer,Red Bull,
2017,Renault,Renault,
2017,Sauber Ferrari,Sauber,
2017,Toro Rosso,Toro Rosso,
2017,Williams Mercedes,Williams,
2018,Ferrari,Ferrari,
2018,Force India Mercedes,Force India,
2018,Haas Ferrari,Haas,
2018,McLaren Renault,McLaren,
2018,Mercedes,Mercedes,
2018,Red Bull Racing TAG Heuer,Red Bull,
2018,Renault,Renault,
2018,Sauber Ferrari,Sauber,
2018,Scuderia Toro Rosso Honda,Toro Rosso,
2018,Williams Mercedes,Williams,
