year,round,race_date,race_name,race_url
1980,3,South Africa,01 Mar 1980,/en/results.html/1980/races/82/south-africa/race-result.html
1980,4,USA West,30 Mar 1980,/en/results.html/1980/races/83/usa-west/race-result.html
1980,5,Belgium,04 May 1980,/en/results.html/1980/races/84/belgium/race-result.html
1980,6,Monaco,18 May 1980,/en/results.html/1980/races/85/monaco/race-result.html
1980,7,France,29 Jun 1980,/en/results.html/1980/races/86/france/race-result.html
1980,8,Great Britain,13 Jul 1980,/en/results.html/1980/races/87/great-britain/race-result.html
1980,9,Germany,10 Aug 1980,/en/results.html/1980/races/88/germany/race-result.html
1980,10,Austria,17 Aug 1980,/en/results.html/1980/races/89/austria/race-result.html
1980,11,Netherlands,31 Aug 1980,/en/results.html/1980/races/90/netherlands/race-result.html
1980,12,Italy,14 Sep 1980,/en/results.html/1980/races/91/italy/race-result.html
1980,13,Canada,28 Sep 1980,/en/results.html/1980/races/92/canada/race-result.html
1980,14,USA East,05 Oct 1980,/en/results.html/1980/races/93/usa-east/race-result.html
1981,1,USA West,15 Mar 1981,/en/results.html/1981/races/422/usa-west/race-result.html
1981,2,Brazil,29 Mar 1981,/en/results.html/1981/races/423/brazil/race-result.html
1981,3,Argentina,12 Apr 1981,/en/results.html/1981/races/424/argentina/race-result.html
1981,4,San Marino,03 May 1981,/en/results.html/1981/races/425/san-marino/race-result.html
1981,5,Belgium,17 May 1981,/en/results.html/1981/races/426/belgium/race-result.html
1981,6,Monaco,31 May 1981,/en/results.html/1981/races/427/monaco/race-result.html
1981,7,Spain,21 Jun 1981,/en/results.html/1981/races/428/spain/race-result.html
1981,8,France,05 Jul 1981,/en/results.html/1981/races/429/france/race-result.html
1981,9,Great Britain,18 Jul 1981,/en/results.html/1981/races/430/great-britain/race-result.html
1981,10,Germany,02 Aug 1981,/en/results.html/1981/races/431/germany/race-result.html
1981,11,Austria,16 Aug 1981,/en/results.html/1981/races/432/austria/race-result.html
1981,12,Netherlands,30 Aug 1981,/en/results.html/1981/races/433/netherlands/race-result.html
1981,13,Italy,13 Sep 1981,/en/results.html/1981/races/434/italy/race-result.html
1981,14,Canada,27 Sep 1981,/en/results.html/1981/races/435/canada/race-result.html
1981,15,Las Vegas,17 Oct 1981,/en/results.html/1981/races/436/las-vegas/race-result.html
1982,1,South Africa,23 Jan 1982,/en/results.html/1982/races/437/south-africa/race-result.html
1982,2,Brazil,21 Mar 1982,/en/results.html/1982/races/438/brazil/race-result.html
1982,3,USA West,04 Apr 1982,/en/results.html/1982/races/439/usa-west/race-result.html
1982,4,San Marino,25 Apr 1982,/en/results.html/1982/races/440/san-marino/race-result.html
1982,5,Belgium,09 May 1982,/en/results.html/1982/races/441/belgium/race-result.html
1982,6,Monaco,23 May 1982,/en/results.html/1982/races/442/monaco/race-result.html
1982,7,Detroit,06 Jun 1982,/en/results.html/1982/races/443/detroit/race-result.html
1982,8,Canada,13 Jun 1982,/en/results.html/1982/races/444/canada/race-result.html
1982,9,Netherlands,03 Jul 1982,/en/results.html/1982/races/445/netherlands/race-result.html
1982,10,Great Britain,18 Jul 1982,/en/results.html/1982/races/446/great-britain/race-result.html
1982,11,France,25 Jul 1982,/en/results.html/1982/races/447/france/race-result.html
1982,12,Germany,08 Aug 1982,/en/results.html/1982/races/448/germany/race-result.html
1982,13,Austria,15 Aug 1982,/en/results.html/1982/races/449/austria/race-result.html
1982,14,Switzerland,29 Aug 1982,/en/results.html/1982/races/450/switzerland/race-result.html
1982,15,Italy,12 Sep 1982,/en/results.html/1982/races/451/italy/race-result.html
1982,16,Las Vegas,25 Sep 1982,/en/results.html/1982/races/452/las-vegas/race-result.html
1983,1,Brazil,13 Mar 1983,/en/results.html/1983/races/9/brazil/race-result.html
1983,2,USA West,27 Mar 1983,/en/results.html/1983/races/453/usa-west/race-result.html
1983,3,France,17 Apr 1983,/en/results.html/1983/races/454/france/race-result.html
1983,4,San Marino,01 May 1983,/en/results.html/1983/races/455/san-marino/race-result.html
1983,5,Monaco,15 May 1983,/en/results.html/1983/races/456/monaco/race-result.html
1983,6,Belgium,22 May 1983,/en/results.html/1983/races/457/belgium/race-result.html
1983,7,Detroit,05 Jun 1983,/en/results.html/1983/races/8/detroit/race-result.html
1983,8,Canada,12 Jun 1983,/en/results.html/1983/races/458/canada/race-result.html
1983,9,Great Britain,16 Jul 1983,/en/results.html/1983/races/459/great-britain/race-result.html
1983,10,Germany,07 Aug 1983,/en/results.html/1983/races/460/germany/race-result.html
1983,11,Austria,14 Aug 1983,/en/results.html/1983/races/461/austria/race-result.html
1983,12,Netherlands,28 Aug 1983,/en/results.html/1983/races/462/netherlands/race-result.html
1983,13,Italy,11 Sep 1983,/en/results.html/1983/races/463/italy/race-result.html
1983,14,Europe,25 Sep 1983,/en/results.html/1983/races/464/europe/race-result.html
1983,15,South Africa,15 Oct 1983,/en/results.html/1983/races/465/south-africa/race-result.html
1984,1,Brazil,25 Mar 1984,/en/results.html/1984/races/466/brazil/race-result.html
1984,2,South Africa,07 Apr 1984,/en/results.html/1984/races/467/south-africa/race-result.html
1984,3,Belgium,29 Apr 1984,/en/results.html/1984/races/468/belgium/race-result.html
1984,4,San Marino,06 May 1984,/en/results.html/1984/races/469/san-marino/race-result.html
1984,5,France,20 May 1984,/en/results.html/1984/races/470/france/race-result.html
1984,6,Monaco,03 Jun 1984,/en/results.html/1984/races/471/monaco/race-result.html
1984,7,Canada,17 Jun 1984,/en/results.html/1984/races/472/canada/race-result.html
1984,8,Detroit,24 Jun 1984,/en/results.html/1984/races/473/detroit/race-result.html
1984,9,Dallas,08 Jul 1984,/en/results.html/1984/races/474/dallas/race-result.html
1984,10,Great Britain,22 Jul 1984,/en/results.html/1984/races/475/great-britain/race-result.html
1984,11,Germany,05 Aug 1984,/en/results.html/1984/races/476/germany/race-result.html
1984,12,Austria,19 Aug 1984,/en/results.html/1984/races/477/austria/race-result.html
1984,13,Netherlands,26 Aug 1984,/en/results.html/1984/races/478/netherlands/race-result.html
1984,14,Italy,09 Sep 1984,/en/results.html/1984/races/479/italy/race-result.html
1984,15,Europe,07 Oct 1984,/en/results.html/1984/races/480/europe/race-result.html
1984,16,Portugal,21 Oct 1984,/en/results.html/1984/races/481/portugal/race-result.html
1985,1,Brazil,07 Apr 1985,/en/results.html/1985/races/482/brazil/race-result.html
1985,2,Portugal,21 Apr 1985,/en/results.html/1985/races/483/portugal/race-result.html
1985,3,San Marino,05 May 1985,/en/results.html/1985/races/484/san-marino/race-result.html
1985,4,Monaco,19 May 1985,/en/results.html/1985/races/485/monaco/race-result.html
1985,5,Canada,16 Jun 1985,/en/results.html/1985/races/486/canada/race-result.html
1985,6,Detroit,23 Jun 1985,/en/results.html/1985/races/487/detroit/race-result.html
1985,7,France,07 Jul 1985,/en/results.html/1985/races/488/france/race-result.html
1985,8,Great Britain,21 Jul 1985,/en/results.html/1985/races/489/great-britain/race-result.html
1985,9,Germany,04 Aug 1985,/en/results.html/1985/races/490/germany/race-result.html
1985,10,Austria,18 Aug 1985,/en/results.html/1985/races/491/austria/race-result.html
1985,11,Netherlands,25 Aug 1985,/en/results.html/1985/races/492/netherlands/race-result.html
1985,12,Italy,08 Sep 1985,/en/results.html/1985/races/493/italy/race-result.html
1985,13,Belgium,15 Sep 1985,/en/results.html/1985/races/494/belgium/race-result.html
1985,14,Europe,06 Oct 1985,/en/results.html/1985/races/495/europe/race-result.html
1985,15,South Africa,19 Oct 1985,/en/results.html/1985/races/496/south-africa/race-result.html
1985,16,Australia,03 Nov 1985,/en/results.html/1985/races/497/australia/race-result.html
1986,1,Brazil,23 Mar 1986,/en/results.html/1986/races/498/brazil/race-result.html
1986,2,Spain,13 Apr 1986,/en/results.html/1986/races/499/spain/race-result.html
1986,3,San Marino,27 Apr 1986,/en/results.html/1986/races/500/san-marino/race-result.html
1986,4,Monaco,11 May 1986,/en/results.html/1986/races/501/monaco/race-result.html
1986,5,Belgium,25 May 1986,/en/results.html/1986/races/502/belgium/race-result.html
1986,6,Canada,15 Jun 1986,/en/results.html/1986/races/503/canada/race-result.html
1986,7,Detroit,22 Jun 1986,/en/results.html/1986/races/504/detroit/race-result.html
1986,8,France,06 Jul 1986,/en/results.html/1986/races/505/france/race-result.html
1986,9,Great Britain,13 Jul 1986,/en/results.html/1986/races/506/great-britain/race-result.html
1986,10,Germany,27 Jul 1986,/en/results.html/1986/races/507/germany/race-result.html
1986,11,Hungary,10 Aug 1986,/en/results.html/1986/races/508/hungary/race-result.html
1986,12,Austria,17 Aug 1986,/en/results.html/1986/races/509/austria/race-result.html
1986,13,Italy,07 Sep 1986,/en/results.html/1986/races/510/italy/race-result.html
1986,14,Portugal,21 Sep 1986,/en/results.html/1986/races/511/portugal/race-result.html
1986,15,Mexico,12 Oct 1986,/en/results.html/1986/races/512/mexico/race-result.html
1986,16,Australia,26 Oct 1986,/en/results.html/1986/races/513/australia/race-result.html
1987,1,Brazil,12 Apr 1987,/en/results.html/1987/races/5/brazil/race-result.html
1987,2,San Marino,03 May 1987,/en/results.html/1987/races/6/san-marino/race-result.html
1987,3,Belgium,17 May 1987,/en/results.html/1987/races/7/belgium/race-result.html
1987,4,Monaco,31 May 1987,/en/results.html/1987/races/514/monaco/race-result.html
1987,5,Detroit,21 Jun 1987,/en/results.html/1987/races/515/detroit/race-result.html
1987,6,France,05 Jul 1987,/en/results.html/1987/races/516/france/race-result.html
1987,7,Great Britain,12 Jul 1987,/en/results.html/1987/races/517/great-britain/race-result.html
1987,8,Germany,26 Jul 1987,/en/results.html/1987/races/518/germany/race-result.html
1987,9,Hungary,09 Aug 1987,/en/results.html/1987/races/519/hungary/race-result.html
1987,10,Austria,16 Aug 1987,/en/results.html/1987/races/520/austria/race-result.html
1987,11,Italy,06 Sep 1987,/en/results.html/1987/races/521/italy/race-result.html
1987,12,Portugal,20 Sep 1987,/en/results.html/1987/races/522/portugal/race-result.html
1987,13,Spain,27 Sep 1987,/en/results.html/1987/races/523/spain/race-result.html
1987,14,Mexico,18 Oct 1987,/en/results.html/1987/races/524/mexico/race-result.html
1987,15,Japan,01 Nov 1987,/en/results.html/1987/races/525/japan/race-result.html
1987,16,Australia,15 Nov 1987,/en/results.html/1987/races/526/australia/race-result.html
1988,1,Brazil,03 Apr 1988,/en/results.html/1988/races/527/brazil/race-result.html
1988,2,San Marino,01 May 1988,/en/results.html/1988/races/528/san-marino/race-result.html
1988,3,Monaco,15 May 1988,/en/results.html/1988/races/529/monaco/race-result.html
1988,4,Mexico,29 May 1988,/en/results.html/1988/races/530/mexico/race-result.html
1988,5,Canada,12 Jun 1988,/en/results.html/1988/races/531/canada/race-result.html
1988,6,Detroit,19 Jun 1988,/en/results.html/1988/races/532/detroit/race-result.html
1988,7,France,03 Jul 1988,/en/results.html/1988/races/533/france/race-result.html
1988,8,Great Britain,10 Jul 1988,/en/results.html/1988/races/534/great-britain/race-result.html
1988,9,Germany,24 Jul 1988,/en/results.html/1988/races/535/germany/race-result.html
1988,10,Hungary,07 Aug 1988,/en/results.html/1988/races/536/hungary/race-result.html
1988,11,Belgium,28 Aug 1988,/en/results.html/1988/races/537/belgium/race-result.html
1988,12,Italy,11 Sep 1988,/en/results.html/1988/races/538/italy/race-result.html
1988,13,Portugal,25 Sep 1988,/en/results.html/1988/races/539/portugal/race-result.html
1988,14,Spain,02 Oct 1988,/en/results.html/1988/races/540/spain/race-result.html
1988,15,Japan,30 Oct 1988,/en/results.html/1988/races/541/japan/race-result.html
1988,16,Australia,13 Nov 1988,/en/results.html/1988/races/542/australia/race-result.html
1989,1,Brazil,26 Mar 1989,/en/results.html/1989/races/543/brazil/race-result.html
1989,2,San Marino,23 Apr 1989,/en/results.html/1989/races/544/san-marino/race-result.html
1989,3,Monaco,07 May 1989,/en/results.html/1989/races/545/monaco/race-result.html
1989,4,Mexico,28 May 1989,/en/results.html/1989/races/546/mexico/race-result.html
1989,5,United States,04 Jun 1989,/en/results.html/1989/races/547/united-states/race-result.html
1989,6,Canada,18 Jun 1989,/en/results.html/1989/races/548/canada/race-result.html
1989,7,France,09 Jul 1989,/en/results.html/1989/races/549/france/race-result.html
1989,8,Great Britain,16 Jul 1989,/en/results.html/1989/races/550/great-britain/race-result.html
1989,9,Germany,30 Jul 1989,/en/results.html/1989/races/551/germany/race-result.html
1989,10,Hungary,13 Aug 1989,/en/results.html/1989/races/552/hungary/race-result.html
1989,11,Belgium,27 Aug 1989,/en/results.html/1989/races/553/belgium/race-result.html
1989,12,Italy,10 Sep 1989,/en/results.html/1989/races/554/italy/race-result.html
1989,13,Portugal,24 Sep 1989,/en/results.html/1989/races/555/portugal/race-result.html
1989,14,Spain,01 Oct 1989,/en/results.html/1989/races/556/spain/race-result.html
1989,15,Japan,22 Oct 1989,/en/results.html/1989/races/557/japan/race-result.html
1989,16,Australia,05 Nov 1989,/en/results.html/1989/races/558/australia/race-result.html
1990,1,United States,11 Mar 1990,/en/results.html/1990/races/64/united-states/race-result.html
1990,2,Brazil,25 Mar 1990,/en/results.html/1990/races/65/brazil/race-result.html
1990,3,San Marino,13 May 1990,/en/results.html/1990/races/66/san-marino/race-result.html
1990,4,Monaco,27 May 1990,/en/results.html/1990/races/67/monaco/race-result.html
1990,5,Canada,10 Jun 1990,/en/results.html/1990/races/68/canada/race-result.html
1990,6,Mexico,24 Jun 1990,/en/results.html/1990/races/69/mexico/race-result.html
1990,7,France,08 Jul 1990,/en/results.html/1990/races/70/france/race-result.html
1990,8,Great Britain,15 Jul 1990,/en/results.html/1990/races/71/great-britain/race-result.html
1990,9,Germany,29 Jul 1990,/en/results.html/1990/races/72/germany/race-result.html
1990,10,Hungary,12 Aug 1990,/en/results.html/1990/races/73/hungary/race-result.html
1990,11,Belgium,26 Aug 1990,/en/results.html/1990/races/74/belgium/race-result.html
1990,12,Italy,09 Sep 1990,/en/results.html/1990/races/75/italy/race-result.html
1990,13,Portugal,23 Sep 1990,/en/results.html/1990/races/76/portugal/race-result.html
1990,14,Spain,30 Sep 1990,/en/results.html/1990/races/77/spain/race-result.html
1990,15,Japan,21 Oct 1990,/en/results.html/1990/races/78/japan/race-result.html
1990,16,Australia,04 Nov 1990,/en/results.html/1990/races/79/australia/race-result.html
1991,1,United States,10 Mar 1991,/en/results.html/1991/races/559/united-states/race-result.html
1991,2,Brazil,24 Mar 1991,/en/results.html/1991/races/560/brazil/race-result.html
1991,3,San Marino,28 Apr 1991,/en/results.html/1991/races/561/san-marino/race-result.html
1991,4,Monaco,12 May 1991,/en/results.html/1991/races/562/monaco/race-result.html
1991,5,Canada,02 Jun 1991,/en/results.html/1991/races/563/canada/race-result.html
1991,6,Mexico,16 Jun 1991,/en/results.html/1991/races/564/mexico/race-result.html
1991,7,France,07 Jul 1991,/en/results.html/1991/races/565/france/race-result.html
1991,8,Great Britain,14 Jul 1991,/en/results.html/1991/races/566/great-britain/race-result.html
1991,9,Germany,28 Jul 1991,/en/results.html/1991/races/567/germany/race-result.html
1991,10,Hungary,11 Aug 1991,/en/results.html/1991/races/568/hungary/race-result.html
1991,11,Belgium,25 Aug 1991,/en/results.html/1991/races/569/belgium/race-result.html
1991,12,Italy,08 Sep 1991,/en/results.html/1991/races/570/italy/race-result.html
1991,13,Portugal,22 Sep 1991,/en/results.html/1991/races/571/portugal/race-result.html
1991,14,Spain,29 Sep 1991,/en/results.html/1991/races/572/spain/race-result.html
1991,15,Japan,20 Oct 1991,/en/results.html/1991/races/573/japan/race-result.html
1991,16,Australia,03 Nov 1991,/en/results.html/1991/races/574/australia/race-result.html
1992,1,South Africa,01 Mar 1992,/en/results.html/1992/races/2/south-africa/race-result.html
1992,2,Mexico,22 Mar 1992,/en/results.html/1992/races/575/mexico/race-result.html
1992,3,Brazil,05 Apr 1992,/en/results.html/1992/races/576/brazil/race-result.html
1992,4,Spain,03 May 1992,/en/results.html/1992/races/577/spain/race-result.html
1992,5,San Marino,17 May 1992,/en/results.html/1992/races/578/san-marino/race-result.html
1992,6,Monaco,31 May 1992,/en/results.html/1992/races/579/monaco/race-result.html
1992,7,Canada,14 Jun 1992,/en/results.html/1992/races/580/canada/race-result.html
1992,8,France,05 Jul 1992,/en/results.html/1992/races/581/france/race-result.html
1992,9,Great Britain,12 Jul 1992,/en/results.html/1992/races/582/great-britain/race-result.html
1992,10,Germany,26 Jul 1992,/en/results.html/1992/races/583/germany/race-result.html
1992,11,Hungary,16 Aug 1992,/en/results.html/1992/races/584/hungary/race-result.html
1992,12,Belgium,30 Aug 1992,/en/results.html/1992/races/585/belgium/race-result.html
1992,13,Italy,13 Sep 1992,/en/results.html/1992/races/586/italy/race-result.html
1992,14,Portugal,27 Sep 1992,/en/results.html/1992/races/587/portugal/race-result.html
1992,15,Japan,25 Oct 1992,/en/results.html/1992/races/588/japan/race-result.html
1992,16,Australia,08 Nov 1992,/en/results.html/1992/races/589/australia/race-result.html
1993,1,South Africa,14 Mar 1993,/en/results.html/1993/races/590/south-africa/race-result.html
1993,2,Brazil,28 Mar 1993,/en/results.html/1993/races/591/brazil/race-result.html
1993,3,Europe,11 Apr 1993,/en/results.html/1993/races/592/europe/race-result.html
1993,4,San Marino,25 Apr 1993,/en/results.html/1993/races/593/san-marino/race-result.html
1993,5,Spain,09 May 1993,/en/results.html/1993/races/594/spain/race-result.html
1993,6,Monaco,23 May 1993,/en/results.html/1993/races/595/monaco/race-result.html
1993,7,Canada,13 Jun 1993,/en/results.html/1993/races/596/canada/race-result.html
1993,8,France,04 Jul 1993,/en/results.html/1993/races/597/france/race-result.html
1993,9,Great Britain,11 Jul 1993,/en/results.html/1993/races/3/great-britain/race-result.html
1993,10,Germany,25 Jul 1993,/en/results.html/1993/races/598/germany/race-result.html
1993,11,Hungary,15 Aug 1993,/en/results.html/1993/races/599/hungary/race-result.html
1993,12,Belgium,29 Aug 1993,/en/results.html/1993/races/600/belgium/race-result.html
1993,13,Italy,12 Sep 1993,/en/results.html/1993/races/601/italy/race-result.html
1993,14,Portugal,26 Sep 1993,/en/results.html/1993/races/602/portugal/race-result.html
1993,15,Japan,24 Oct 1993,/en/results.html/1993/races/603/japan/race-result.html
1993,16,Australia,07 Nov 1993,/en/results.html/1993/races/604/australia/race-result.html
1994,1,Brazil,27 Mar 1994,/en/results.html/1994/races/605/brazil/race-result.html
1994,2,Pacific,17 Apr 1994,/en/results.html/1994/races/606/pacific/race-result.html
1994,3,San Marino,01 May 1994,/en/results.html/1994/races/607/san-marino/race-result.html
1994,4,Monaco,15 May 1994,/en/results.html/1994/races/608/monaco/race-result.html
1994,5,Spain,29 May 1994,/en/results.html/1994/races/609/spain/race-result.html
1994,6,Canada,12 Jun 1994,/en/results.html/1994/races/610/canada/race-result.html
1994,7,France,03 Jul 1994,/en/results.html/1994/races/611/france/race-result.html
1994,8,Great Britain,10 Jul 1994,/en/results.html/1994/races/612/great-britain/race-result.html
1994,9,Germany,31 Jul 1994,/en/results.html/1994/races/613/germany/race-result.html
1994,10,Hungary,14 Aug 1994,/en/results.html/1994/races/614/hungary/race-result.html
1994,11,Belgium,28 Aug 1994,/en/results.html/1994/races/615/belgium/race-result.html
1994,12,Italy,11 Sep 1994,/en/results.html/1994/races/616/italy/race-result.html
1994,13,Portugal,25 Sep 1994,/en/results.html/1994/races/617/portugal/race-result.html
1994,14,Europe,16 Oct 1994,/en/results.html/1994/races/618/europe/race-result.html
1994,15,Japan,06 Nov 1994,/en/results.html/1994/races/619/japan/race-result.html
1994,16,Australia,13 Nov 1994,/en/results.html/1994/races/620/australia/race-result.html
1995,1,Brazil,26 Mar 1995,/en/results.html/1995/races/621/brazil/race-result.html
1995,2,Argentina,09 Apr 1995,/en/results.html/1995/races/622/argentina/race-result.html
1995,3,San Marino,30 Apr 1995,/en/results.html/1995/races/623/san-marino/race-result.html
1995,4,Spain,14 May 1995,/en/results.html/1995/races/624/spain/race-result.html
1995,5,Monaco,28 May 1995,/en/results.html/1995/races/625/monaco/race-result.html
1995,6,Canada,11 Jun 1995,/en/results.html/1995/races/626/canada/race-result.html
1995,7,France,02 Jul 1995,/en/results.html/1995/races/627/france/race-result.html
1995,8,Great Britain,16 Jul 1995,/en/results.html/1995/races/628/great-britain/race-result.html
1995,9,Germany,30 Jul 1995,/en/results.html/1995/races/629/germany/race-result.html
1995,10,Hungary,13 Aug 1995,/en/results.html/1995/races/630/hungary/race-result.html
1995,11,Belgium,27 Aug 1995,/en/results.html/1995/races/631/belgium/race-result.html
1995,12,Italy,10 Sep 1995,/en/results.html/1995/races/632/italy/race-result.html
1995,13,Portugal,24 Sep 1995,/en/results.html/1995/races/633/portugal/race-result.html
1995,14,Europe,01 Oct 1995,/en/results.html/1995/races/634/europe/race-result.html
1995,15,Pacific,22 Oct 1995,/en/results.html/1995/races/635/pacific/race-result.html
1995,16,Japan,29 Oct 1995,/en/results.html/1995/races/636/japan/race-result.html
1995,17,Australia,12 Nov 1995,/en/results.html/1995/races/637/australia/race-result.html
1996,1,Australia,10 Mar 1996,/en/results.html/1996/races/638/australia/race-result.html
1996,2,Brazil,31 Mar 1996,/en/results.html/1996/races/639/brazil/race-result.html
1996,3,Argentina,07 Apr 1996,/en/results.html/1996/races/640/argentina/race-result.html
1996,4,Europe,28 Apr 1996,/en/results.html/1996/races/641/europe/race-result.html
1996,5,San Marino,05 May 1996,/en/results.html/1996/races/642/san-marino/race-result.html
1996,6,Monaco,19 May 1996,/en/results.html/1996/races/643/monaco/race-result.html
1996,7,Spain,02 Jun 1996,/en/results.html/1996/races/644/spain/race-result.html
1996,8,Canada,16 Jun 1996,/en/results.html/1996/races/645/canada/race-result.html
1996,9,France,30 Jun 1996,/en/results.html/1996/races/646/france/race-result.html
1996,10,Great Britain,14 Jul 1996,/en/results.html/1996/races/647/great-britain/race-result.html
1996,11,Germany,28 Jul 1996,/en/results.html/1996/races/648/germany/race-result.html
1996,12,Hungary,11 Aug 1996,/en/results.html/1996/races/649/hungary/race-result.html
1996,13,Belgium,25 Aug 1996,/en/results.html/1996/races/650/belgium/race-result.html
1996,14,Italy,08 Sep 1996,/en/results.html/1996/races/651/italy/race-result.html
1996,15,Portugal,22 Sep 1996,/en/results.html/1996/races/652/portugal/race-result.html
1996,16,Japan,13 Oct 1996,/en/results.html/1996/races/653/japan/race-result.html
1997,1,Australia,09 Mar 1997,/en/results.html/1997/races/654/australia/race-result.html
1997,2,Brazil,30 Mar 1997,/en/results.html/1997/races/655/brazil/race-result.html
1997,3,Argentina,13 Apr 1997,/en/results.html/1997/races/656/argentina/race-result.html
1997,4,San Marino,27 Apr 1997,/en/results.html/1997/races/657/san-marino/race-result.html
1997,5,Monaco,11 May 1997,/en/results.html/1997/races/658/monaco/race-result.html
1997,6,Spain,25 May 1997,/en/results.html/1997/races/659/spain/race-result.html
1997,7,Canada,15 Jun 1997,/en/results.html/1997/races/660/canada/race-result.html
1997,8,France,29 Jun 1997,/en/results.html/1997/races/661/france/race-result.html
1997,9,Great Britain,13 Jul 1997,/en/results.html/1997/races/662/great-britain/race-result.html
1997,10,Germany,27 Jul 1997,/en/results.html/1997/races/663/germany/race-result.html
1997,11,Hungary,10 Aug 1997,/en/results.html/1997/races/664/hungary/race-result.html
1997,12,Belgium,24 Aug 1997,/en/results.html/1997/races/665/belgium/race-result.html
1997,13,Italy,07 Sep 1997,/en/results.html/1997/races/666/italy/race-result.html
1997,14,Austria,21 Sep 1997,/en/results.html/1997/races/667/austria/race-result.html
1997,15,Luxembourg,28 Sep 1997,/en/results.html/1997/races/668/luxembourg/race-result.html
1997,16,Japan,12 Oct 1997,/en/results.html/1997/races/669/japan/race-result.html
1997,17,Europe,26 Oct 1997,/en/results.html/1997/races/670/europe/race-result.html
1998,1,Australia,08 Mar 1998,/en/results.html/1998/races/671/australia/race-result.html
1998,2,Brazil,29 Mar 1998,/en/results.html/1998/races/672/brazil/race-result.html
1998,3,Argentina,12 Apr 1998,/en/results.html/1998/races/673/argentina/race-result.html
1998,4,San Marino,26 Apr 1998,/en/results.html/1998/races/674/san-marino/race-result.html
1998,5,Spain,10 May 1998,/en/results.html/1998/races/675/spain/race-result.html
1998,6,Monaco,24 May 1998,/en/results.html/1998/races/676/monaco/race-result.html
1998,7,Canada,07 Jun 1998,/en/results.html/1998/races/677/canada/race-result.html
1998,8,France,28 Jun 1998,/en/results.html/1998/races/678/france/race-result.html
1998,9,Great Britain,12 Jul 1998,/en/results.html/1998/races/679/great-britain/race-result.html
1998,10,Austria,26 Jul 1998,/en/results.html/1998/races/680/austria/race-result.html
1998,11,Germany,02 Aug 1998,/en/results.html/1998/races/681/germany/race-result.html
1998,12,Hungary,16 Aug 1998,/en/results.html/1998/races/682/hungary/race-result.html
1998,13,Belgium,30 Aug 1998,/en/results.html/1998/races/683/belgium/race-result.html
1998,14,Italy,13 Sep 1998,/en/results.html/1998/races/684/italy/race-result.html
1998,15,Luxembourg,27 Sep 1998,/en/results.html/1998/races/685/luxembourg/race-result.html
1998,16,Japan,01 Nov 1998,/en/results.html/1998/races/686/japan/race-result.html
1999,1,Australia,07 Mar 1999,/en/results.html/1999/races/687/australia/race-result.html
1999,2,Brazil,11 Apr 1999,/en/results.html/1999/races/688/brazil/race-result.html
1999,3,San Marino,02 May 1999,/en/results.html/1999/races/689/san-marino/race-result.html
1999,4,Monaco,16 May 1999,/en/results.html/1999/races/690/monaco/race-result.html
1999,5,Spain,30 May 1999,/en/results.html/1999/races/691/spain/race-result.html
1999,6,Canada,13 Jun 1999,/en/results.html/1999/races/692/canada/race-result.html
1999,7,France,27 Jun 1999,/en/results.html/1999/races/693/france/race-result.html
1999,8,Great Britain,11 Jul 1999,/en/results.html/1999/races/694/great-britain/race-result.html
1999,9,Austria,25 Jul 1999,/en/results.html/1999/races/695/austria/race-result.html
1999,10,Germany,01 Aug 1999,/en/results.html/1999/races/696/germany/race-result.html
1999,11,Hungary,15 Aug 1999,/en/results.html/1999/races/697/hungary/race-result.html
1999,12,Belgium,29 Aug 1999,/en/results.html/1999/races/698/belgium/race-result.html
1999,13,Italy,12 Sep 1999,/en/results.html/1999/races/699/italy/race-result.html
1999,14,Europe,26 Sep 1999,/en/results.html/1999/races/700/europe/race-result.html
1999,15,Malaysia,17 Oct 1999,/en/results.html/1999/races/701/malaysia/race-result.html
1999,16,Japan,31 Oct 1999,/en/results.html/1999/races/702/japan/race-result.html
2000,1,Australia,12 Mar 2000,/en/results.html/2000/races/47/australia/race-result.html
2000,2,Brazil,26 Mar 2000,/en/results.html/2000/races/48/brazil/race-result.html
2000,3,San Marino,09 Apr 2000,/en/results.html/2000/races/49/san-marino/race-result.html
2000,4,Great Britain,23 Apr 2000,/en/results.html/2000/races/50/great-britain/race-result.html
2000,5,Spain,07 May 2000,/en/results.html/2000/races/51/spain/race-result.html
2000,6,Europe,21 May 2000,/en/results.html/2000/races/52/europe/race-result.html
2000,7,Monaco,04 Jun 2000,/en/results.html/2000/races/53/monaco/race-result.html
2000,8,Canada,18 Jun 2000,/en/results.html/2000/races/54/canada/race-result.html
2000,9,France,02 Jul 2000,/en/results.html/2000/races/55/france/race-result.html
2000,10,Austria,16 Jul 2000,/en/results.html/2000/races/56/austria/race-result.html
2000,11,Germany,30 Jul 2000,/en/results.html/2000/races/57/germany/race-result.html
2000,12,Hungary,13 Aug 2000,/en/results.html/2000/races/58/hungary/race-result.html
2000,13,Belgium,27 Aug 2000,/en/results.html/2000/races/59/belgium/race-result.html
2000,14,Italy,10 Sep 2000,/en/results.html/2000/races/60/italy/race-result.html
2000,15,United States,24 Sep 2000,/en/results.html/2000/races/61/united-states/race-result.html
2000,16,Japan,08 Oct 2000,/en/results.html/2000/races/62/japan/race-result.html
2000,17,Malaysia,22 Oct 2000,/en/results.html/2000/races/63/malaysia/race-result.html
